REPORTER_STATE,BUYER_STATE,DRUG_NAME,YEAR,sum(DOSAGE_UNIT)
FL,IN,OXYCODONE,2007,956300.0
MI,IN,OXYCODONE,2007,659800.0
TX,IN,HYDROCODONE,2008,1700.0
AL,KY,HYDROCODONE,2016,1156500.0
AR,IN,HYDROCODONE,2012,3457530.0
SC,IN,HYDROCODONE,2013,4300.0
MI,KY,OXYCODONE,2016,349800.0
CT,IN,HYDROCODONE,2013,16500.0
TN,KY,HYDROCODONE,2016,39759550.0
CA,IN,HYDROCODONE,2014,322265.0
KY,KY,OXYCODONE,2016,13749720.0
CT,IN,HYDROCODONE,2011,78500.0
MS,IN,HYDROCODONE,2012,39542.0
VA,IN,HYDROCODONE,2007,40400.0
CA,IN,OXYCODONE,2013,380740.0
AL,IN,HYDROCODONE,2011,792300.0
CA,IN,OXYCODONE,2012,9240.0
MN,IN,HYDROCODONE,2009,4465.0
WI,IN,HYDROCODONE,2013,17335820.0
IL,IN,OXYCODONE,2013,64731060.0
KY,KY,OXYCODONE,2015,14549100.0
SC,KY,HYDROCODONE,2019,33700.0
AL,KY,OXYCODONE,2017,555650.0
MO,KY,OXYCODONE,2018,1663110.0
IL,KY,HYDROCODONE,2019,10867090.0
AL,KY,HYDROCODONE,2015,1398020.0
LA,KY,OXYCODONE,2017,78800.0
MN,KY,HYDROCODONE,2017,134000.0
NY,KY,OXYCODONE,2016,2000.0
TN,IN,OXYCODONE,2012,14900.0
MA,IN,HYDROCODONE,2010,1200.0
IN,IN,OXYCODONE,2011,2300.0
VA,PA,HYDROCODONE,2016,655980.0
FL,PA,HYDROCODONE,2017,36840.0
WV,PA,HYDROCODONE,2017,19337620.0
PA,PA,HYDROCODONE,2018,35103810.0
VT,PA,HYDROCODONE,2018,42490.0
MI,PA,OXYCODONE,2018,98800.0
MO,PA,OXYCODONE,2016,17300.0
CA,PA,HYDROCODONE,2017,8250.0
FL,PA,OXYCODONE,2016,6970.0
VA,PA,OXYCODONE,2019,1042800.0
KS,PA,HYDROCODONE,2015,11900.0
MA,NY,OXYCODONE,2017,8547680.0
SC,NY,OXYCODONE,2017,4700.0
KY,NY,HYDROCODONE,2017,9340.0
IL,NY,OXYCODONE,2017,100.0
MO,NY,OXYCODONE,2018,3000.0
FL,NY,HYDROCODONE,2017,55760.0
KY,NY,OXYCODONE,2017,43500.0
MI,CA,OXYCODONE,2017,97500.0
TX,CA,HYDROCODONE,2016,176400.0
KS,NY,HYDROCODONE,2019,15800.0
AR,GA,HYDROCODONE,2017,19643000.0
MS,GA,OXYCODONE,2016,1174200.0
AR,GA,OXYCODONE,2017,9668020.0
MI,GA,OXYCODONE,2015,88900.0
MS,GA,HYDROCODONE,2016,3675980.0
NY,GA,HYDROCODONE,2019,3600.0
NY,GA,OXYCODONE,2016,43300.0
LA,GA,OXYCODONE,2016,1735180.0
AL,GA,HYDROCODONE,2016,13794180.0
AZ,GA,OXYCODONE,2018,244100.0
MS,GA,OXYCODONE,2018,1005000.0
MA,NY,HYDROCODONE,2015,12195100.0
NY,NY,HYDROCODONE,2015,114591540.0
WI,NY,HYDROCODONE,2016,2100.0
NY,NY,OXYCODONE,2016,168777940.0
AR,CA,OXYCODONE,2018,1504300.0
IL,CA,HYDROCODONE,2018,45925.0
MI,CA,OXYCODONE,2019,121300.0
NY,CA,OXYCODONE,2019,17700.0
MO,TN,OXYCODONE,2019,3410700.0
MO,TN,HYDROCODONE,2016,10624820.0
OK,TN,OXYCODONE,2015,8400.0
KY,TN,HYDROCODONE,2019,970780.0
AR,TN,HYDROCODONE,2015,26906570.0
KS,TN,HYDROCODONE,2018,43000.0
OH,TN,OXYCODONE,2018,149600.0
SC,TN,OXYCODONE,2016,4555940.0
IN,TN,HYDROCODONE,2017,11220.0
LA,TN,OXYCODONE,2015,13123340.0
MS,TN,OXYCODONE,2016,65500.0
TN,VA,OXYCODONE,2017,3241460.0
IL,VA,OXYCODONE,2017,1426770.0
NY,VA,OXYCODONE,2017,73650.0
MS,VA,OXYCODONE,2017,565800.0
OH,VA,HYDROCODONE,2018,197060.0
KS,VA,HYDROCODONE,2019,7600.0
KS,VA,HYDROCODONE,2018,5500.0
